N;seed;SUB_harmonic_LB;SUB_harmonic_UB;SUB_harmonic_arbitrary_LB;SUB_harmonic_arbitrary_UB;SUB_harmonic_aggregation_LB;SUB_harmonic_aggregation_UB;SUB_formula_LB;SUB_formula_UB;SUB_formula_arbitrary_LB;SUB_formula_arbitrary_UB;SUB_formula_aggregation_LB;SUB_formula_aggregation_UB;SUB_random_LB;SUB_random_UB;SUB_random_arbitrary_LB;SUB_random_arbitrary_UB;SUB_random_aggregation_LB;SUB_random_aggregation_UB;SA_LB;SA_UB;greedy
30;0;10305.5;68384;0;80848;14653.3;56400;16836.1;31952;28413.1;29824;25332;50384;23489;30896;28402.8;29824;26149.6;43968;14654.9;46832;61424
30;2;7551.36;40976;0;58720;9432.44;41200;12249.2;17680;16228.9;16896;14976.7;21520;13748.2;20112;16314.4;16864;15488.2;22192;10850.7;30144;71968
30;4;8628.15;67088;0;96528;12446.2;69712;11298.5;29696;24499.5;25760;23059;30272;21583.7;29168;24965.4;25664;23536.7;36448;12147.4;65344;65072
30;6;7844.57;36160;0;53264;11065.2;46240;15044.6;26448;23964.1;25376;22798.8;28032;18009.6;27088;23629.6;25552;22988.7;31680;11029.7;35936;68976
30;8;8469.28;44448;0;81504;12186.8;64256;7226.16;25520;22570.9;23328;20137.2;33088;17637.1;25456;22965.9;23328;20761;45440;12052.8;33568;78544
30;10;10186.2;61680;0;101472;14089.5;59040;15119.8;36560;33284.4;34848;31783.1;38640;29139.3;37904;33623.3;34784;30077.2;41216;16852.3;51520;117696
30;12;8964.59;64960;0;78064;13015.4;63376;15636;27536;24760.1;26560;24027.3;27968;21972.4;27760;25217.4;26560;23724.2;51808;15566.9;52048;106784
30;14;6329.63;44848;0;53040;9904.57;48672;18397;24128;22445.5;23952;20829.2;25072;17066.1;24240;22663.4;23968;20781.3;34608;10822;40416;50032
30;16;10394.6;61696;0;87536;15793;72160;13018.7;28176;26115;27824;25397.7;36848;19692.9;32336;26613.1;27920;24190.9;32528;15944;43424;69120
30;18;11268.8;47648;0;74496;14774.3;44128;13115.4;27328;23379.5;26064;22818.1;28992;18560.5;30000;23824.5;26208;22936.2;33344;14610.2;38688;80320
30;20;8435.73;54752;0;83584;11128.3;54224;11173.5;19280;16730.2;17808;14344.8;27648;14764.6;18208;16857;17808;14694.4;27904;12127.7;23520;53120
30;22;9484.33;56688;0;79248;14099.5;66688;15446.3;40800;36404.9;37184;32541.8;50144;29174.8;42800;36125.2;37184;33181.6;50224;16757.7;52160;72624
30;24;6591.12;64688;0;71168;13169.9;67296;0;29088;22597.7;27296;22488.4;34512;17543.4;28288;23150.4;28144;21787;31216;9692.96;46928;93040
30;26;9667.95;59968;0;74096;14633.4;70896;15124.3;35920;32396.9;33696;31390.4;35008;26288.3;39312;32116.3;34736;30151.9;40032;15674.6;56288;98800
30;28;6943.25;62144;0;72416;11161.4;59856;12110.5;18784;17443.3;18304;16329.4;29008;15738.7;19136;17725.7;18304;16856.5;25936;12924.3;35168;54640
30;30;7243.57;51504;0;75552;10688.7;57840;9501.32;25200;21861.3;23024;21226.4;24864;10626.9;38592;22429.5;22960;19886.9;30688;8808.5;51376;87536
30;32;7135.55;36608;0;56416;11188.8;35808;0;24640;21373.3;23120;17970.5;40608;13426.2;26016;20874;23088;20258.5;33152;3505.74;41088;95920
30;34;12063.4;67104;0;86000;17655.9;61392;22530.8;40240;36520.5;38320;34751.6;43184;31016.4;40256;36392.3;38544;33536.6;45344;21242.8;55600;91712
30;36;6685.71;30272;0;41968;10999.2;49664;0;19968;17324.1;18064;16212.3;31056;12575.5;20848;17370.4;18064;16004.7;33664;7142.74;23664;74224
30;38;8496.39;46416;0;69808;12815;54656;0;23680;20436.4;21312;17536;29424;16746.4;21312;20109;21312;20033.3;34352;10892.3;29808;80256
30;40;5111.58;41040;0;52192;9099.8;52864;3400.82;21216;18611.8;19808;17092.6;26752;14121.9;21760;18306.7;20128;16163.2;32208;8655.87;33712;84240
30;42;7387.84;58656;0;83968;11294.8;63376;11441;26944;23402.5;25984;22896.5;37808;19924.4;27888;24363.7;25632;22221.7;41856;10995.7;47312;73936
30;44;6415.52;34432;0;63344;8478.75;43616;9002.26;16448;14194.8;15680;11647.3;23472;10172.6;19776;14596.3;15616;11900.6;24976;8169.71;27360;49008
30;46;6415.86;45872;0;67888;9434.47;42256;6960.58;16720;14419.7;15664;12740.1;32496;11212.2;16240;14784;15600;12319.6;35984;7585.16;26016;55424
30;48;7055.12;28176;0;46768;9122.4;29904;11043.7;15616;14627.4;15008;12135.6;27344;13331.5;15776;14744.5;14992;12921;27408;8343.74;20064;57824
40;0;7223.67;73552;0;117168;15228.8;91200;0;53536;35413.8;39232;32760.5;50384;8153.44;64064;35984.7;39360;30794.8;53072;8819.77;66704;119568
40;2;6114.78;74832;0;92432;11006.1;78784;3455.76;28144;21298.1;25200;19676.7;29680;13511.2;34576;22712.1;25328;19443.5;38448;9047.93;66592;66048
40;4;3987.26;82736;0;102608;11973;84208;0;37392;30633.4;33568;28418.2;36592;8674.44;48608;27789;38320;23792.1;51328;6632.19;69008;124608
40;6;9621.66;106368;0;145952;17714.9;115312;2511;56304;43984.3;49056;42893.2;59520;23938.5;62656;46369.1;48864;41972.8;59744;18583.3;98240;138896
40;8;5998.47;104688;0;130576;15855.2;109872;0;48000;37253;41536;34853.9;46096;14994.6;53568;38270.7;42928;34963.1;62640;9065.34;94288;156480
40;10;7710.46;147360;0;174752;15995.5;158608;0;63520;50545.8;53280;45397.9;63232;27846.2;65152;48618.8;53216;48351;70400;15843.5;134832;159680
40;12;6068.15;94208;0;113088;12190.7;99888;0;48448;33022.9;34864;30232;36768;11266.2;41504;30134.9;38928;26661.8;76560;6708.85;88288;128816
40;14;10370.4;101248;0;142144;16782.6;98160;1121.04;53696;42807.8;45696;38763.7;53360;24448.8;61216;43502.9;46096;39830.3;58224;12592.6;84928;133520
40;16;6809.89;89920;0;136240;14003.3;87744;0;45200;32965.9;35056;30317.1;41312;12982.8;51616;33010.6;35088;30750.7;49744;7173.5;86848;156288
40;18;7779.26;63216;0;100448;13505.2;59136;8788.88;47056;41890.5;44064;36860.6;58528;19295.7;53152;39700.2;44336;33501.8;49664;12165.5;54864;151456
40;20;6831.31;83840;0;119008;12511.6;126688;8293.3;43568;35979;40256;32443.1;44448;23938.7;48752;36120.4;40112;31611.3;45856;11475.1;79632;115936
40;22;6400.67;81824;0;113024;11989.8;92064;0;30240;23299.4;24848;20949.5;34016;13716.7;26784;24019;24672;22365.5;31328;7906.08;46464;96976
40;24;4751.67;108272;0;134688;14192.7;111632;0;94848;39868.5;43376;36412.4;53696;0;72800;38218;47232;32847.4;51104;4213.94;103520;150048
40;26;8710.64;118384;0;150992;19764.7;148880;0;96592;55948.4;60288;55162.2;63472;10551;96736;55715.3;60784;52088.1;82592;16943.8;99536;141968
40;28;7134.53;97296;0;114352;14516;109376;0;46336;37674.4;42544;34550;52304;20174.7;51776;37181.6;43616;33087.5;47584;12973.8;75872;163088
40;30;6516.31;93696;0;121120;18003.8;116096;0;76224;45778.5;49536;40969.2;71856;4065.62;80080;44087.1;53200;36754.5;57456;0;102384;132112
40;32;5446.17;91456;0;113024;15787.5;96880;0;57744;39800.3;48704;40815;53744;5091.02;58752;34536.5;53456;31453;53728;6552.4;88192;162336
40;34;5707.41;76672;0;105920;14166.3;75424;0;54960;37062;42464;33835.9;44592;12312.8;60912;36346.2;44064;35470.9;46672;9827.78;70496;117872
40;36;3054.24;65152;0;79600;13195.9;72640;0;37152;26985.4;28256;23818;40336;1062.16;49440;26114.6;28992;23135.9;32320;0;64368;115920
40;38;8269.06;73520;0;135872;16067.4;112640;0;52288;36431.8;39472;33163.2;47600;12092.2;60064;38190;39104;35579.1;53920;5451;83472;126400
40;40;6559.16;119888;0;141440;15721.2;143584;0;68368;45648.4;51120;45661.4;55360;11788.4;77840;47618.3;51104;41818.7;66512;8048.06;84000;128512
40;42;7681.3;66112;0;107712;13640.9;99216;0;33312;24145.8;27376;19542.8;42240;13906.5;27760;26087;27200;23462.9;27408;11226.9;59120;136176
40;44;8926.62;94768;0;118928;16009.9;94160;9843.04;42896;36266;37968;32712.5;49392;23454.2;45872;37056.2;37904;33593.1;48640;14964.8;65456;114592
40;46;8794.54;107792;0;118704;18724.9;112256;18122.8;52384;42604.8;48112;40373.7;54912;31872.9;56176;45037.4;47504;41672.3;56096;15631.9;90480;116096
40;48;6369.91;67424;0;85456;11830.2;70560;10786.1;30608;27653.3;29488;25609.4;38064;11105.1;44064;27854.3;29552;23367.9;44176;8234.65;48992;67408
50;0;6262.58;148304;0;224320;19466.8;182400;0;143024;66330.1;78304;57039.7;90000;0;131264;70964.5;77104;52580.7;95728;0;172864;200176
50;2;8697.4;142320;0;156336;18365.6;149856;0;68064;51631;54304;45986.3;57392;21368.9;80160;51687.8;54928;45153.3;71936;17403.2;109872;185120
50;4;3020.55;118352;0;160928;15730.9;142528;0;104016;41743.3;53184;38269.7;58624;0;83248;48522.7;50800;38563.7;68688;0;114784;141920
50;6;4238.83;133920;0;180816;16973.2;146464;0;96752;57862.8;64288;52754.8;67520;3969.79;97120;56103.2;67984;48113;80608;0;118336;175376
50;8;3646.86;190416;0;217792;21214.5;187568;0;141136;82339;94656;75701.5;96816;0;136896;81593;100272;65292.2;130496;4146.06;168464;258320
50;10;4858.4;193344;0;215872;17568.5;188432;0;137872;60773.2;68464;54527.1;71040;0;121200;63549.6;70032;52286.3;86048;0;184896;253392
50;12;2760.82;178128;0;207152;18896.4;194192;0;121248;68176.1;76288;62506.1;83664;0;140336;69510.7;78784;57576.8;92048;6983.4;149968;193088
50;14;3294.1;103152;0;137120;13155.9;106096;0;76304;45442.8;49520;39034.8;56640;5889.4;67648;40578.6;55728;35185.8;73504;0;105264;178560
50;16;1462.64;132160;0;155264;16975.5;122096;0;92208;47310.2;54688;45785.3;56176;0;117472;46299.1;60832;41898.6;68560;0;117728;169888
50;18;6060.48;160224;0;205776;17381.6;170640;0;82800;56627.4;61088;54376.2;64704;8689.1;121792;58377.3;61088;54262.8;68816;3769.36;151312;157536
50;20;8096.11;166608;0;239008;18410.6;161376;0;96656;52255.7;61264;47397.7;68832;13202;103472;50959.3;61008;49951.5;85904;6465.85;152480;217536
50;22;6218.28;150944;0;186896;20288.4;154864;0;122000;68252.9;76896;61713.2;78368;6928.26;106144;69063;80192;58688;114784;9601.7;141904;243264
50;24;88.3708;134096;0;199984;15970.2;163328;0;137312;50381.6;63216;43827.1;68592;0;127040;52351.4;67008;41104.8;84784;0;137824;193376
50;26;78.6348;159040;0;174592;17223.8;161632;0;163072;78198.1;96944;74294.2;101280;0;150192;78524.6;101568;68999;124208;0;149056;214688
50;28;4000.8;145888;0;177344;16747.6;120848;0;71728;36949.5;46096;33936.6;49776;0;106608;39023;45712;33170.2;63088;0;118544;154384
50;30;5939.14;204736;0;235904;18440.9;213504;0;176848;84232.9;97664;72250.9;115824;0;164928;84068.9;105152;76198.6;140656;7411.42;186832;241584
50;32;1548.98;185568;0;235648;17282.1;177664;0;139168;57738.7;69552;53425.9;80208;0;135712;61788.8;68736;38113.9;103872;0;175984;209312
50;34;2917.73;150768;0;164528;16471.9;168480;0;129552;71516.8;82288;68924.8;83184;388.637;130224;76157.4;82016;57182.3;110560;1356.07;153216;206800
50;36;6927.51;193024;0;248576;22803.5;221568;0;113552;70688.2;79360;64361.4;90016;0;127904;72163.3;79808;58947.1;105888;5617.57;177616;221216
50;38;4478.71;128720;0;187360;19208;148432;0;105824;43021.8;56560;39580.1;58240;0;105168;50152.1;55744;39233;76624;0;128704;193568
50;40;2474.38;169328;0;203424;17735.3;150176;0;115952;56929;67360;55431.2;68928;0;99104;62171.8;66752;50325.8;87360;0;129088;227104
50;42;3705.92;182400;0;208176;19246.5;187952;0;115744;55483;65520;53157;68272;0;106304;59718.5;65264;46900.4;79888;202.295;150128;185952
50;44;4835.57;125232;0;137008;15291.5;135600;0;85632;47282.9;63232;40121.8;72304;7405.9;108992;51546.8;66064;47313.9;74016;12963.7;119008;190240
50;46;4110.99;111568;0;143648;16404.8;146016;0;62784;41063;47024;39622.9;47328;11255.6;63408;43011.9;46736;33647.2;70256;3311.53;100800;179424
50;48;7627.92;126176;0;153616;16620;129840;0;61024;41492;44000;36542.2;54368;9395.63;76416;41142.8;44208;37466.4;57568;17997.5;116832;127904
